No,Keyword,Search Volume,CPC,Paid Difficulty,Search Intent,Search Difficulty
103,kenny hills bakers george town menu,1600,RM0,9,"commercial, informational",20
104,samba brazilian steakhouse menu,1600,RM2.17,4,informational,11
105,mamak menu,1600,RM2.29,2,navigational,13
106,shabuyaki by nippon sushi menu,1600,RM6.54,1,"commercial, navigational",14
107,soru station menu,1600,RM1.67,1,"navigational, informational",26
108,wet deck w kuala lumpur menu,1600,RM3.35,2,informational,30
109,thong bowl ioi city mall menu,1600,RM0,1,"informational, navigational",24
110,happy potato menu,1600,RM1.43,6,informational,10
111,smith and wollensky kuala lumpur menu,1600,RM0.98,1,"informational, transactional",18
112,menu makanan,1600,RM0.61,53,informational,22
113,kapitan restaurant menu,1600,RM0.29,1,"commercial, informational",14
114,fuego at troika sky dining menu,1600,RM5.47,2,informational,24
115,sds menu,1600,RM1.47,12,informational,16
116,raw kitchen hall menu,1600,RM0,1,informational,13
117,menu of the day subway,1600,RM0.86,1,,6
118,uncle don menu,1600,RM1.96,3,navigational,29
119,fifty tales menu,1600,RM0,1,informational,16
120,traffic bean menu,1600,RM0.61,2,navigational,14
121,asador v menu,1600,RM0.49,12,"informational, navigational, transactional",12
122,strangers at 47 menu,1600,RM2.37,1,informational,15
123,menu oriental kopi,1600,RM1.67,5,"commercial, transactional",24
124,menu gloria jeans,1600,RM0.41,2,"commercial, transactional",12
125,all about chew menu,1600,RM1.35,51,commercial,37
126,the fire korean restaurant menu,1600,RM6.66,2,"commercial, informational",25
127,kopihut menu,1600,RM1.51,1,"navigational, informational, transactional",24
128,menu emart,1600,RM0.51,4,,20
129,menu suka dessert,1600,RM1.84,26,informational,26
130,baskin robbins menu,1600,RM0.94,38,informational,31
131,hotzilla ss15 menu,1600,RM1.51,2,"commercial, informational",26
132,mesa on 51 menu,1600,RM0.33,11,informational,18
133,dancing fish bangsar shopping centre menu,1600,RM0.92,2,transactional,24
134,bamboo hills menu,1600,RM1.84,1,"navigational, informational",25
135,hotbird menu,1600,RM1.59,1,navigational,19
136,jp & co menu,1600,RM0.74,1,"navigational, informational",18
137,p&c kitchen restaurant eco ardence menu,1600,RM0.37,13,informational,23
138,siang malam sheila rusly menu,1600,RM0,1,informational,26
139,pizza mansion menu,1600,RM1.27,4,"informational, navigational",17
140,menu diet,1600,RM1.55,77,informational,34
141,busanzip menu,1600,RM1.39,8,"navigational, informational",14
142,menu starbucks,1600,RM1.23,26,informational,32
143,joja bagels menu,1600,RM1.18,8,informational,13
144,bella pasta and wine menu,1600,RM2.94,1,"commercial, navigational",18
145,frenchie's brunch & dates menu,1600,RM0,1,"informational, navigational",26
146,gastrohub menu,1600,RM1.27,2,navigational,18
147,nippori bistro menu,1600,RM5.39,2,informational,12
148,cili kampung suria klcc menu,1600,RM0,1,"navigational, informational",15
149,me'nate penang menu,1600,RM1.02,1,"commercial, informational",11
150,johnny menu,1600,RM0.86,3,informational,26
151,if only restaurant menu,1600,RM0,1,informational,25
152,uncle jack menu,1600,RM1.67,8,navigational,7
153,menu momoyo,1600,RM1.51,6,informational,12
154,starter food menu,1600,RM0.33,96,"commercial, informational",45
155,chili's menu malaysia,1600,RM1.47,6,informational,14
156,thank god it's friday restaurant menu,1600,RM0.69,4,informational,24
157,i dragon menu,1600,RM1.51,4,informational,34
158,a w menu malaysia,1600,RM0.74,1,informational,13
159,menu kfry,1600,RM1.80,4,informational,19
160,ali muthu ah hock menu,1600,RM1.51,12,informational,16
161,menu ahmad fried chicken,1600,RM1.59,7,informational,18
162,mike pizza menu,1600,RM1.96,3,"informational, navigational",19
163,domino malaysia menu,1600,RM0.86,5,"commercial, informational",14
164,menu wedrink,1600,RM1.43,3,informational,13
165,amici ristorante italiano menu,1600,RM2.86,5,"commercial, navigational",15
166,nak nak ioi menu,1600,RM3.02,1,transactional,11
167,gula cakery menu,1600,RM0.69,31,informational,14
168,kenny hills menu,1600,RM2.41,11,"navigational, informational",17
169,jaman tory resepi menu,1600,RM1.72,3,informational,13
170,ono specialty coffee & matcha menu,1600,RM0,1,"navigational, informational",26
171,marini's on 57 menu,1600,RM1.92,10,navigational,29
172,menu makan malam,1300,RM2.17,18,informational,22
173,menu saigon,1300,RM0.82,2,navigational,17
174,menu makan tengahari,1300,RM1.14,14,informational,23
175,baan suwarin menu,1300,RM0,1,"commercial, navigational, informational",27
176,i love yoo menu,1300,RM1.51,4,informational,12
177,kenny hills bakers georgetown menu,1300,RM0.82,7,"informational, navigational",20
178,lesong by johara menu,1300,RM0,1,informational,21
179,salam noodles menu,1300,RM1.27,8,informational,13
180,pokok lalaport menu,1300,RM0,1,informational,13
181,food menu at ikea,1300,RM1.47,2,,6
182,tehyeish menu,1300,RM1.84,1,informational,26
183,atsky bukit bintang menu,1300,RM0,1,informational,27
184,cowboys barbecue & grill menu,1300,RM0.16,1,"informational, transactional",30
185,fatty crab restaurant menu,1300,RM0,1,informational,21
186,richiamo menu,1300,RM1.63,9,"navigational, informational, transactional",13
187,ginger kl bamboo hills menu,1300,RM0,1,"informational, navigational",14
188,kula cakes menu,1300,RM0.86,4,"informational, commercial",12
189,tealive menu with price,1300,RM1.27,37,"commercial, transactional",18
190,baba phang menu,1300,RM0,1,"navigational, informational",11
191,rembayung kuala lumpur menu,1300,RM0,1,"informational, transactional",15
192,two sons bistro menu,1300,RM0,1,informational,16
193,yut kee restaurant menu,1300,RM0.33,1,"informational, navigational",14
194,fish manhattan menu,1300,RM0.86,1,"informational, commercial",27
195,menu coolblog,1300,RM1.88,10,"navigational, informational",12
196,oomph petaling jaya menu,1300,RM0,1,navigational,14
197,mcdonald's malaysia menu price,1300,RM0.86,5,"commercial, informational",25
198,zus coffee menu malaysia,1300,RM0.78,49,informational,12
199,subway daily menu,1300,RM1.43,2,informational,42
200,white butter kl menu,1300,RM0.69,1,informational,24
201,sharetea menu,1300,RM1.59,11,informational,22
202,shabuyaki menu,1300,RM4.37,2,informational,19
203,cc by mel menu,1300,RM0.69,2,"informational, navigational",29
204,malaysia kfc menu prices,1300,RM0.65,5,"informational, commercial",32
205,uo shin menu,1300,RM6.62,2,informational,15
206,lepau restaurant kuching menu,1300,RM0.57,1,"informational, navigational",25
207,malaysia kfc menu price,1300,RM1.14,19,,11
208,maki maki menu,1300,RM1.10,4,informational,16
209,luck bros kopi menu,1300,RM2,2,"informational, navigational",14
210,giggles and geeks menu,1300,RM0,1,"informational, navigational",17
211,the roomah restaurant menu,1300,RM0,1,informational,24
212,pizza menu,1300,RM0.82,27,"informational, transactional",20
213,texas chicken menu malaysia,1300,RM1.23,8,informational,27
214,gloria jeans menu,1300,RM1.35,13,"navigational, informational, commercial",15
215,kompassion thai menu,1300,RM0.86,1,"informational, commercial, navigational",23
216,pineyard menu,1300,RM0,1,"navigational, informational",36
217,hot bird damansara uptown menu,1300,RM5.52,3,navigational,20
218,thank god it's friday menu,1300,RM0.08,9,informational,31
219,menu san francisco coffee,1300,RM0.29,3,"informational, navigational",27
220,menu for hi tea,1300,RM1.55,4,informational,24
221,ho kow hainam kopitiam menu,1300,RM3.27,1,"navigational, informational",18
222,kunak western food menu,1300,RM0,1,informational,26
223,chagee menu malaysia,1300,RM1.23,10,informational,11
224,cili kampung the light hotel menu,1300,RM29.78,1,navigational,18
225,leen's middle east kitchen menu,1300,RM0,1,informational,19
226,haiku kl menu,1300,RM0,1,informational,24
227,dunkin donuts malaysia menu,1300,RM1.43,8,informational,13
228,woodfire penang menu,1300,RM1.76,5,commercial,17
229,mr tuk tuk menu,1300,RM1.84,8,"navigational, commercial",10
230,natalina italian kitchen menu,1300,RM0.98,6,informational,26
231,mixue malaysia menu,1300,RM1.23,9,informational,23
232,thong bowl paradigm mall jb menu,1300,RM1.21,1,"navigational, informational",10
233,the yardhouse kitchen cafe & bar menu,1300,RM0,1,"commercial, navigational",26
234,miker pizza menu,1300,RM2,5,"transactional, informational",13
235,mixue new menu,1300,RM0.98,3,informational,22
236,calia pavilion menu,1300,RM0,1,navigational,24
237,christine's bakery menu,1300,RM1.23,28,"commercial, informational, navigational",23
238,super saigon menu,1300,RM0.82,1,"navigational, commercial",24
239,nero nero menu,1300,RM0.53,5,"informational, transactional",34
240,haidilao menu,1300,RM1.96,25,"informational, navigational",9
241,the roost bayan lepas menu,1300,RM1,1,commercial,23
242,pokok sunway pyramid menu,1300,RM0,1,"commercial, informational",25
243,norm micro roastery menu,1300,RM0,1,informational,21
244,wallace chicken menu,1300,RM1.02,5,informational,12
245,dodo korea menu,1300,RM1.31,2,"navigational, informational",13
246,butter & spice menu,1300,RM1.96,1,informational,15
247,ritzy kl menu,1300,RM1.23,2,"commercial, informational",7
248,menu a&w,1300,RM1.35,8,navigational,14
249,fowlboys menu,1300,RM1.63,3,"navigational, informational",9
250,mod menu,1300,RM0,1,"transactional, informational",21
251,tgif menu,1300,RM2.21,2,"commercial, informational, navigational",21
252,bijou cafe ara damansara menu,1300,RM0,1,informational,24
253,oomph tropika bukit jalil menu,1300,RM0,1,navigational,22
254,kantan damas menu,1300,RM0,1,informational,24
255,koppiku menu,1300,RM1.84,6,"informational, navigational, transactional",12
256,grill haven kl menu,1300,RM0,1,"navigational, commercial, informational",14
257,burger & lobster genting menu,1300,RM0,1,"navigational, informational",15
258,jibril menu,1300,RM0.12,14,informational,22
259,mokky's pizza & coffee subang parade menu,1300,RM1.27,5,"commercial, navigational",27
260,keijometo menu,1300,RM6.62,1,"informational, navigational",11
261,lago by the lake menu,1300,RM1.27,1,"navigational, commercial",20
262,kfc menu 2025,1300,RM1.51,4,"informational, commercial",33
263,house of wheat menu,1300,RM1.88,1,"commercial, navigational",25
264,nifayyi warung & kafe menu,1300,RM1.35,4,informational,14
265,mcdonald malaysia breakfast menu,1300,RM2.12,2,informational,17
266,menu mykori,1300,RM1.92,6,informational,8
267,the daily fix cafe menu,1300,RM0,1,"navigational, commercial",20
268,hidden langkawi menu,1300,RM1.88,1,informational,22
269,kung jung korean restaurant pnb perdana binjai menu,1300,RM7.44,2,informational,18
270,jibby chow bangsar menu,1300,RM0,1,informational,10
271,menu open house raya,1300,RM1.76,18,informational,18
272,roofino sky dining menu,1300,RM1.96,2,"commercial, navigational",16
273,oga tea and dining menu,1300,RM0,1,informational,25
274,chakuro yakiniku menu,1300,RM0.98,1,"informational, navigational",17
275,arest cafe bukit jalil kl menu,1300,RM1.63,2,"transactional, commercial",23
276,flat 18 menu,1300,RM0,1,"commercial, informational",37
277,kindan kl menu,1300,RM1.80,1,informational,26
278,la gaya menu,1300,RM2.70,2,informational,26
279,the qing banquet & restaurant menu,1300,RM0,1,informational,20
280,menu kenangan coffee,1300,RM1.06,11,informational,19
281,cream tea menu,1300,RM1.14,5,commercial,41
282,chilis menu malaysia,1300,RM0.65,3,,14
283,menu nak nak,1300,RM1.51,1,informational,22
284,pejam mata cafe menu,1300,RM0,1,"navigational, informational",26
285,common feed menu,1300,RM0,1,navigational,13
286,sek yuen restaurant menu,1300,RM1.63,2,"informational, navigational",19
287,boss burger solo menu,1300,RM2.37,5,"navigational, informational, commercial",24
288,a&w menu malaysia,1300,RM1.27,5,"informational, navigational",11
289,menu marrybrown price,1300,RM0.45,3,"commercial, informational",13
290,heytea menu malaysia,1300,RM0.94,2,informational,21
291,cili kampung hartamas menu,1300,RM0,1,"informational, navigational",11
292,nabe hotpot & sukiyaki mytown shopping centre menu,1300,RM3.88,1,"informational, transactional",24
293,johnny restaurant menu,1300,RM1.35,6,"informational, navigational",13
294,today kfc menu with prices,1300,RM0.78,9,informational,16
295,entier french dining menu,1300,RM0,1,"commercial, informational",29
296,annabell kl menu,1300,RM1.27,1,"informational, navigational, transactional",12
297,kafe kleptokrat menu,1300,RM0,1,informational,15
298,pine yard menu,1300,RM0,1,commercial,13
299,uncle bob menu,1300,RM1.88,10,"navigational, informational",14
300,yatie kitchen menu,1300,RM2.37,2,"informational, commercial",25
301,vivo pizza menu,1300,RM2,5,"navigational, informational, commercial",24
302,menu bingxue,1300,RM2,8,"informational, navigational",10
303,mcdonald's menu price list malaysia,1300,RM0.94,10,,9
304,bingxue menu malaysia,1300,RM1.10,6,"informational, navigational, commercial",7
305,kantan kota damansara menu,1000,RM0.33,4,informational,11
306,10 grams cyberjaya menu,1000,RM1.39,1,informational,31
307,the hungry beast sunway velocity 2 menu,1000,RM2.82,2,"commercial, transactional",26
308,homst menu,1000,RM1.31,4,"navigational, informational",15
309,red kettle the gardens mall menu,1000,RM0,1,"commercial, navigational, informational",10
310,bidadari turun malam cafe & ruang seni menu,1000,RM1.31,1,"commercial, transactional",24
311,bocado menu,1000,RM0.86,7,"navigational, informational",20
312,potato story menu,1000,RM0.78,6,informational,19
313,shabuyaki by nippon sushi toppen shopping centre menu,1000,RM0,1,"commercial, navigational",24
314,kuroma buffet & dining menu,1000,RM0.04,1,"navigational, transactional, informational",19
315,positano risto publika menu,1000,RM0,2,informational,11
316,menu super saigon,1000,RM0.94,1,"navigational, commercial",24
317,krispy kreme malaysia menu,1000,RM1.06,9,informational,13
318,loaf adam menu,1000,RM1.31,3,informational,22
319,starbucks malaysia menu with price,1000,RM1.06,12,"commercial, informational",27
320,menu al rawsha,1000,RM0.82,2,informational,10
321,experiment kitchen merab menu,1000,RM0,1,commercial,26
322,the savor kl menu,1000,RM1.43,3,commercial,15
323,kenny hills bakers ioi city mall menu,1000,RM0,3,"navigational, informational",12
324,kfc menu burger,1000,RM1.10,7,informational,13
325,menu fuel shack,1000,RM1.51,7,navigational,14
326,fish market manhattan menu,1000,RM0.98,3,"informational, navigational",20
327,meokja cafe menu,1000,RM0.49,5,"navigational, informational, commercial",15
328,menu bakers cottage,1000,RM1.10,3,,14
329,burger king menu in malaysia,1000,RM1.39,7,informational,24
330,dancing fish restaurant menu,1000,RM0.65,1,"commercial, informational",18
331,all ace menu,1000,RM2.37,2,"informational, navigational",32
332,aloha karaoke sunway pyramid menu,1000,RM0,1,"informational, navigational",24
333,cafe bistrot david menu,1000,RM0,1,informational,23
334,tgsk kuala lumpur menu,1000,RM0,1,commercial,26
335,labu labu menu,1000,RM1.06,4,informational,14
336,experiment kitchen menu,1000,RM0,1,informational,27
337,ramly burger menu,1000,RM0.86,40,"informational, navigational",12
338,betawi indonesian cuisine ttdi menu,1000,RM0.20,12,informational,12
339,menu cu mart,1000,RM1.80,7,informational,12
340,sky51 menu,1000,RM0.82,9,navigational,16
341,boost menu malaysia,1000,RM1.10,6,"commercial, transactional, informational",23
342,teksen restaurant menu,1000,RM1.80,1,"informational, navigational",17
343,emart24 menu,1000,RM1.63,7,navigational,13
344,menu berbuka puasa simple,1000,RM0.90,11,transactional,17
345,mollagaa restaurant menu,1000,RM0.90,2,informational,19
346,china house menu,1000,RM0,1,"informational, navigational",35
347,gloria jean's menu,1000,RM1.23,11,"commercial, informational",11
348,menu top global,1000,RM0.88,2,navigational,26
349,halzan penang menu,1000,RM0,1,commercial,16
350,hayyan huda opah's kitchen menu,1000,RM0,1,informational,14
351,marrybrown menu in malaysia,1000,RM1.55,8,informational,19
352,the red beanbag menu,1000,RM2,1,commercial,24
353,the tamarra by irama dining menu,1000,RM0,1,"commercial, informational",24
354,subway menu price,1000,RM1.23,7,informational,29
355,menu shake shack,1000,RM0.20,14,"commercial, navigational, informational",24
356,urban daybreak cafe bangsar menu,1000,RM1.23,1,"commercial, transactional",31
357,staple dough menu,1000,RM0,1,commercial,10
358,ceylonese restaurant sdn bhd menu,1000,RM0,1,informational,15
359,mcdonald's new menu,1000,RM1.59,3,"informational, commercial",46
360,honest butcher by chef nickt menu,1000,RM1.92,2,informational,22
361,khm strawberries & jam menu,1000,RM0,1,informational,15
362,bottega pj menu,1000,RM0,1,navigational,10
363,rama v enthaicingly thai menu,1000,RM0,1,informational,25
364,richeese menu malaysia,1000,RM1.55,7,informational,12
365,khan indian cuisine menu,1000,RM1.51,4,informational,17
366,10gram ioi putrajaya menu,1000,RM1.31,1,informational,18
367,pretty's hot chicken setapak menu,1000,RM1.92,3,"commercial, transactional",24
368,the hungry beast sri damansara menu,1000,RM0,1,commercial,25
369,diva karaoke 1 utama menu,1000,RM0,1,informational,19
370,canning dim sum menu,1000,RM4.39,4,informational,11
371,ant cave pavilion bukit jalil menu,1000,RM0,1,"commercial, transactional",26
372,bistro léa menu,1000,RM0,1,navigational,20
373,zus coffee price menu,1000,RM1.23,31,informational,15
374,1more pizza taman paramount pj menu,1000,RM7.19,6,transactional,17
375,din by din tai fung menu,1000,RM1.18,6,"navigational, informational",15
376,come true cafe the starhill kl menu,1000,RM0,1,informational,8
377,thai co restaurant menu,1000,RM0.76,1,"commercial, navigational",25
378,buldojang menu,1000,RM1.37,1,informational,17
379,railway briyani station menu,1000,RM1.63,6,"transactional, navigational",24
380,wheeler's george town menu,1000,RM0,1,navigational,18
381,restoran thong ne thae menu,1000,RM0,1,transactional,24
382,elly mellie cafe menu,1000,RM0.20,3,"informational, navigational",25
383,kluang railway coffee menu,1000,RM1.76,4,"commercial, navigational",12
384,benihana klcc menu,1000,RM2.17,2,commercial,15
385,hot crush menu,1000,RM1.72,2,"commercial, informational",39
386,thong kee menu,1000,RM2.04,4,"informational, navigational",12
387,xin cuisine chinese restaurant menu,1000,RM5.31,1,informational,12
388,10 pots steamboat & grill menu,1000,RM0,1,commercial,24
389,kopitiam menu,1000,RM1.51,3,"commercial, navigational",12
390,chef wan menu,1000,RM0.98,6,"navigational, informational, commercial",11
391,kakatoo menu,1000,RM0.98,4,informational,7
392,gravybaby menu,1000,RM0,1,informational,13
393,tapestry chow kit menu,1000,RM0,1,transactional,26
394,koffie lane petaling jaya menu,1000,RM1.25,3,"informational, navigational",19
395,cheevit cheeva menu,1000,RM1.51,1,"commercial, navigational",25
396,menu and prices at burger king,1000,RM0.53,6,informational,24
397,menu pepper lunch,1000,RM1.67,1,informational,26
398,jom cha menu,1000,RM1.84,9,informational,13
399,rich kopitiam menu,1000,RM1.67,3,"navigational, informational",16
400,erode amman mess malaysia menu,1000,RM3.59,7,"commercial, transactional, informational",15
401,fat tea macanese menu,1000,RM1.18,1,informational,16
402,menu kfc new,1000,RM1.51,10,"informational, commercial, navigational",25
403,glaze eatery tamarind square menu,1000,RM1.02,2,informational,16
404,rossi italian menu,1000,RM0.04,1,informational,12
405,marrybrown menu 2025,1000,RM0.82,1,informational,23
406,burger menu mcdonald's,1000,RM1.39,7,"navigational, informational",28
407,timothy cafe menu,1000,RM1.23,1,"informational, navigational",27
408,menu for restaurant,1000,RM2,59,informational,59
409,stick war legacy mod menu,1000,RM0,1,"informational, navigational",16
410,sol level 40 the met menu,1000,RM0,1,commercial,23
411,kani kawa menu,1000,RM2.25,1,informational,27
412,menu pak mat western,1000,RM1.88,10,informational,26
413,peaches and cream brasserie menu,1000,RM0,1,"commercial, navigational",13
414,momoyo menu malaysia,1000,RM1.51,7,"informational, commercial",12
415,chef kecik boulangerie tuah 1895 bukit bintang menu,1000,RM2.25,2,transactional,25
416,gold bar kl menu,1000,RM0,1,commercial,18
417,zus coffee menu price,1000,RM1.27,56,transactional,15
418,yaki soul menu,1000,RM1.06,18,"commercial, informational",25
419,kim gary menu,1000,RM1.10,10,"navigational, informational",18
420,blue reef fish & chips ttdi menu,1000,RM10.62,1,"informational, navigational",26
421,malaiqa by gula cakery menu,1000,RM2.29,7,"navigational, informational",13
422,thai garden village seafood & bbq menu,1000,RM0,1,"commercial, navigational",20
423,san francisco coffee menu,1000,RM0.94,6,"commercial, informational, navigational",25
424,cookie crumbs menu,1000,RM0.78,53,informational,25
425,alunan rasa by irama dining menu,1000,RM0,1,"commercial, informational",24
426,saba restaurant menu cyberjaya,1000,RM1.39,5,"informational, navigational",15
427,the rabbit hole kuala lumpur menu,1000,RM0,1,"informational, navigational",24
428,menu richiamo,1000,RM1.80,11,"informational, navigational",11
429,reggae cafe penang menu,1000,RM9.93,2,informational,19
430,the place steak houze menu,1000,RM0,1,commercial,26
431,103 coffee menu,1000,RM1.08,1,"commercial, informational",29
432,subway menu prices,1000,RM0.94,6,informational,23
433,le mirch menu,1000,RM3.39,3,"informational, navigational",12
434,asumo menu,1000,RM9.76,2,"informational, navigational",10
435,tamarind spring restaurant menu,1000,RM0,1,informational,14
436,house of wheat chow kit menu,1000,RM1.10,1,"informational, navigational",15
437,jollibee malaysia menu,1000,RM2.17,10,informational,17
438,pusing public restaurant menu,1000,RM0,1,"informational, commercial",24
439,blue dahlia menu,1000,RM0,1,commercial,25
440,edward's urban fish & chips uptown menu,1000,RM2.37,1,informational,24
441,uo shin old klang road menu,1000,RM2.45,1,navigational,15
442,fly me to kuala lumpur menu,1000,RM6.41,1,transactional,20
443,jeff lee kitchen menu,1000,RM0,1,"commercial, informational",20
444,jomamigo menu,1000,RM0,1,"commercial, navigational",26
445,menu hari raya,1000,RM1.27,39,"informational, transactional, commercial",22
446,the chicken rice shop menu,1000,RM0.08,13,"commercial, informational",32
447,cafe salim menu,1000,RM0,1,informational,27
448,shikomi coffee menu,1000,RM0,1,"navigational, informational",26
449,menu for high tea,1000,RM0.57,9,informational,28
450,dewakan menu,1000,RM4.74,1,informational,29
451,chili's klcc menu,1000,RM1.63,5,commercial,20
452,alibaba karaoke menu,1000,RM0,1,commercial,23
453,ora dining menu,1000,RM1.72,1,informational,25
454,mee hiris china muslim menu,1000,RM1.76,5,informational,11
455,donut big apple menu,1000,RM0.98,1,"commercial, informational",27
456,rotiboy menu,1000,RM1.72,5,"navigational, informational",15
457,shihlin menu,1000,RM2.49,10,"informational, navigational",14
458,cookies and ginger menu,1000,RM0,1,informational,29
459,jibby east grill menu,1000,RM0,1,navigational,22
460,too yumm sashimi menu,1000,RM1.10,2,informational,15
